Team name,Description,Methods,Citation,Home,Abbreviation
Facebook AI Research,Neural Relational Autoregressive Model,We combine recurrent neural networks with a vector autoregressive model and train the joint model with a specific regularization scheme that increases the coupling between regions. This approach is akin to using Granger causality as a relational inductive bias and helps training of high-resolution models by borrowing statistical strength across regions.,https://ai.facebook.com/research/publications/neural-relational-autoregression-for-high-resolution-covid-19-forecasting/,https://dataforgood.fb.com/tools/covid-19-forecasts/,FAIR-NRAR
CovidAnalytics at MIT,This model predicts based on an SEIR model augmented with underdetection and interventions. Projections account for reopening and assume interventions would be re-enacted if cases continue to climb.,"This model makes predictions for future cases based on a heavily modified SEIR model. New states are added to the SEIR model to account for cases that went undetected, and an explicit death state is included. The infection rate is corrected with a nonlinear curve that represents the governmental and societal response (which is assumed to change according to the magnitude of the outbreak). Key parameters for the disease are fixed using a metanalysis  conducted by the CovidAnalytics group of over 150 parameters while epidemiological parameters are fitted to hisotical death counts and detected cases.",https://www.covidanalytics.io/DELPHI_documentation_pdf,https://www.covidanalytics.io/,CovidAnalytics-DELPHI
Carnegie Mellon Delphi Group,"(State) A basic AR-type time series model fit using case counts and deaths as features. (County) Quantile regr. on county pop., case counts, self-reported symptom data, and doctor's visits.","State level - A basic AR-type time series model fit using lagged values of case  counts and deaths as features. No assumptions are made regarding reopening or governmental interventions. The model is jointly fit across all 50 US states, after some time-alignment is performed as a preprocessing step to facilitate comparison between states. Heavier weight is placed on more recent training data, to account for nonstationarity in the underlying process. A lasso penalty is added to induce variable selection and prevent overfitting. Quantiles are computed using a residual (Gaussian) bootstrap, separately for each location. County level - A quantile regression model fit jointly across selected counties using (1)  case counts, (2) self-reported COVID symptom rates, (3) doctor's visits rates related to  COVID symptoms, and (4) county population.  Features (1-3) are taken at various lags.  Furthermore, the slopes of features (1-3) are computed over the preceding month and  included in the model to provide a sense of the virus's momentum.  Signals (2-3) are  available as indicators through Delphi COVIDcast (http://covidcast.cmu.edu). Signal (2)  is administered with the support of Facebook. No assumptions are made regarding reopening  or governmental interventions.",None,https://delphi.cmu.edu,CMU-TimeSeries
Steve McConnell,"National level and state level, near-term (1-4 week) fatality forecasts.","This is a near-term fatality prediction model that calculates and uses fatality trends at the national and state level, trends in positive virus tests and total virus tests, and age-related demographics for state forecasts.
Model forecasts are based on predicting near-term deaths from recent positive virus tests. The model assumes average delays of 4 days from infection to test, 14-17.5 days from positive test to death, and 18 days from infection to death. No assumptions are made about the effectiveness of interventions or treatments; the model assumes that any such change in effectiveness will be included implicitly in the historical fatality data and the fatality rates calculated from that data. This model uses a Rational Actor assumption for weeks 3-4, in which states that  have death rates below their historical averages remain flat and states that have  death rates above their historical averages revert toward their averages.  No assumptions are made regarding specifics of reopenings or specific governmental interventions.",https://stevemcconnell.com/covid,https://stevemcconnell.com/covid,SteveMcConnell-CovidComplete
Johns Hopkins University Applied Physics Lab,"Metapopulation model using public mobility data. Local parameters (case reporting rates, doubling times, etc) are estimated using data from CSSE and CDC scenario 5. Primary output is case incidence.",Missing,Missing,https://buckymodel.com,JHUAPL-Bucky
UCSD_NEU,This forecasting model combines the signal of a discrete stochastic epidemic computational model GLEAM with a deep learning spatiotemporal forecasting framework to further improve predictions.,"This forecasting model combines the signal of a discrete stochastic epidemic computational model based on a meta-population approach (GLEAM, https://https://covid19.gleamproject.org/) with a deep learning framework that learns spatial and temporal biases of past predictions to further improve forecasts. Like many others, this model assumes that the current intervention strategies continue in order to make predictions about the future death tolls.",Missing,https://datascience.ucsd.edu/COVID19/,UCSD_NEU-DeepGLEAM
NotreDame-mobility,"This is an ensemble of nine models that are identical except that they are driven by different mobility indices from Apple and Google. The model underlying each is a deterministic, SEIR-like model.","This forecast is an ensemble of nine models that are identical except that they are driven by different mobility indices from Apple and Google. The model underlying each is a deterministic, SEIR-like model. Model simulations are initiated by imported infections, which arrive from January 1 onward according to a scaled Normal probability density. Each imported and then local infection gives rise to an average number of secondary infections distributed forward in time according to a generation interval distribution. Once infected, a proportion of those infected die at times distributed according to a distribution between symptom onset and death. Testing of a subset of symptomatic infections is distributed in time in a similar manner, and the model is fitted to data on test positivity by accounting for those seeking testing and a differential probabililty of seeking testing conditional on one's infection status. The model is simultaneously fitted to deaths according to a Poisson likelihood of daily incidence of death. There are a total of twelve model parameters that are all estimated. First, a parameter sweep is conducted to identify the parameter combination from the sweep with the highest likelihood. Then, a region around that parameter combination is assumed to have a uniform prior, and a posterior set of parameters is obtained with MCMC. The model is then simulated forward under each sampled parameter set from the posterior distribution. This process is repeated for each of nine mobility metrics from Apple and Google for 50 states and some territories where at least one type of mobility data is available. Simulations from the posterior predictive distribution of each model are pooled evenly and used to generate a probabilistic forecast in each state and at the national level.",Missing,https://github.com/TAlexPerkins/covid19_NDmobility_forecasting,NotreDame-mobility
Institute of Business Forecasting,Time Series Model with proprietary modifications,Time Series Model with proprietary modifications,Missing,https://ibf.org,IBF-TimeSeries
US Army Engineer Research and Development Center,"The ERDC SEIR model makes predictions of several variables (e.g., reported new/cumulative cases  per day, etc.). Model parameters are estimated using historical data using Bayesian inference.","The ERDC SEIR model is a process-based model that mathematically describes the virus  dynamics in a population center (e.g., state, CBSA) using assumptions that are common  in compartmental models: (i)   modeled populations are large enough that fluctuations in the disease  states grow slower than averages (i.e., coefficient of variation < 1) (ii)  recovered individuals are neither infectious nor become susceptible to  further infection.
The model is similar to classic SEIR models but with additional compartments for  unreported infections and isolated individuals.  Model parameters describing reporting  rates and transmission rates are allowed to vary in time over over the historical  record as social and policy factors change.  Forecasts into the future, however,  are made under the assumption that the parameters are held constant in time.
The model parameters are estimated from observations of the cumulative number of  cases using a Bayesian approach. Information from subject matter experts (SMEs) is  used to develop a prior probability distribution over the model parameters.  This  then combined with a statistical model of the model-data mismatch to produce a posterior  probability distribution over the model parameters that incorporates both the cumulative  observations and subject matter expertise.  The parameters that maximize the posterior  probability density are used to make forecasts into the future.  The effective reproduction  number is computed using the next-generation matrix method.
Deaths are estimated from this model through a procedure which leverages state-level  data on recoveries and fatalities.",Missing,https://github.com/erdc-cv19/seir-model,USACE-ERDC_SEIR
GT,"Data-driven approach based on deep learning for forecasting mortality and  hospitalizations using syndromic, clinical, demographic, and mobility.","May 11 - This data-driven deep learning model learns the dependence of hospitalization and mortality rate on various detailed syndromic, demographic, mobility and clinical data (such as increase in positive Covid tests etc) from historical data. The learned model is then used to predict mortality and hospitalization at various points in future. To compensate for the effects of noise (in data and initialization), the model is bootstrapped on several subsamples and then aggregated. The model also propagates uncertainties in the data to show the confidence intervals in the forecasts.",Missing,https://deepcovid.github.io/,GT-DeepCOVID
